,Date,Interest Rate-Dep agreed mat-<1 yr-Individuals MU (New Business),Interest Rate-Dep agreed mat-<1 yr-Non Financial Corporations MU (New Business),Business Volume-Dep agreed mat-<1 yr-Individuals MU-M€ (New Business),Business Volume-Dep agreed mat-Individuals MU-M€ (New Business),Business Volume-Dep agreed mat-Non Financial Corporations MU-M€ (New Business),Interest Rate-Dep agreed mat-Non Financial Sector MU exc GG (Stocks),Interest Rate-Dep agreed mat-Individuals MU (New Business),Interest Rate-Dep agreed mat-Non Financial Corporations MU (New Business),Interest Rate-Overnight deposits-Individuals MU (Stocks),Interest Rate-Dep agreed mat-Individuals MU (Stocks),Interest Rate-Loans-Non Financial Corporations MU (Stocks),Interest Rate-Dep agreed mat-2+ yrs-Individuals MU (Stocks),Deposits and similars-M€ (OMFI),Deposits and similars-Households and NPISH-PRT-M€ (OMFI),Deposits and similars-NFC-PRT-M€ (OMFI),Overnight deposits-PRT-M€ (OMFI),Overnight deposits-Households and NPISH-PRT-M€ (OMFI),Overnight deposits-NFC-PRT-M€ (OMFI),Direct State debt - Saving certificates - Euro - Monthly - M€
0,2006-12-31,3.27,3.84,7592.0,7990.0,10651.0,2.75,3.25,3.84,0.18,2.44,5.39,2.54,322712.7,93235.5,30353.6,60587.0,29875.2,16811.3,17249.46
1,2007-12-31,4.16,4.81,7537.0,7952.0,8673.0,3.56,4.06,4.81,0.2,3.2,6.15,2.72,347638.3,100758.7,29912.9,59240.2,29157.5,15751.3,18050.0
2,2008-12-31,3.68,3.71,9136.0,10021.0,8908.0,3.96,3.71,3.71,0.17,3.83,6.14,2.73,368695.7,115217.6,29328.5,55809.0,27276.4,14532.0,17197.78
3,2009-12-31,1.52,1.32,4925.0,7491.0,11232.0,1.75,1.71,1.34,0.05,1.75,3.34,2.04,374374.8,116677.0,30895.8,56097.7,30223.1,14215.7,16871.04
4,2010-12-31,2.56,3.22,6762.0,8148.0,11980.0,2.14,2.68,3.21,0.07,1.87,3.77,2.06,410230.6,118990.0,36515.7,53807.1,30461.6,13978.5,15470.72
5,2011-12-31,3.56,2.92,5640.0,8557.0,13081.0,3.48,3.65,2.95,0.12,3.36,5.12,2.91,409929.0,130598.1,33412.1,49853.0,29466.1,12807.3,11384.3
6,2012-12-31,2.34,1.33,4915.0,6180.0,11344.0,2.92,2.4,1.34,0.09,2.95,4.39,3.04,382647.6,130599.4,27136.7,47570.0,27899.3,12332.7,9669.39
7,2013-12-31,1.85,1.3,4269.0,5549.0,6326.0,2.52,1.86,1.32,0.05,2.59,4.37,3.13,354780.9,132245.2,29483.1,50887.5,28957.6,14798.8,10131.86
8,2014-12-31,1.26,0.68,4440.0,5913.0,6471.0,1.93,1.16,0.7,0.11,2.03,3.96,2.57,328138.9,132804.1,30334.1,56468.5,31564.0,15168.7,12141.89
9,2015-12-31,0.53,0.39,4612.0,5983.0,4614.0,1.14,0.5,0.39,0.03,1.18,3.37,1.77,316764.6,137845.6,30215.0,67938.9,36007.4,17952.3,12793.46
10,2016-12-31,0.32,0.26,3924.0,5125.0,2585.0,0.6,0.34,0.27,0.02,0.6,2.91,0.99,309081.1,139251.9,32933.0,78116.7,42339.0,22420.1,12921.95
11,2017-12-31,0.18,0.14,3436.0,4264.0,3425.0,0.46,0.19,0.15,0.01,0.47,2.65,0.91,303195.0,139255.7,37827.1,87341.6,46791.2,26268.6,11941.05
12,2018-12-31,0.14,0.1,4065.0,5125.0,1999.0,0.26,0.15,0.1,0.01,0.27,2.58,0.56,310924.2,144689.5,40797.8,98155.4,54241.1,30645.8,11871.57
13,2019-12-31,0.07,0.06,3626.0,4319.0,1532.0,0.16,0.08,0.06,0.03,0.16,2.4,0.35,310276.9,150056.9,45084.7,110801.6,61910.6,35520.0,12020.5
14,2020-12-31,0.06,0.02,3178.0,3662.0,1702.0,0.11,0.07,0.03,0.01,0.11,2.17,0.27,337720.2,161864.5,52840.3,131323.9,72700.8,43075.6,12219.89
15,2021-12-31,0.04,0.06,3367.0,3826.0,1229.0,0.08,0.04,0.06,0.0,0.08,2.1,0.24,363915.4,172875.4,61815.7,151605.0,82665.5,51939.6,12468.82
16,2022-12-31,0.35,0.98,3832.0,4391.0,5849.0,0.17,0.41,0.98,0.01,0.11,3.42,0.34,356403.8,182437.7,67278.0,166256.4,96117.6,54686.2,19625.5
17,2023-12-31,3.1,3.46,9309.0,9554.0,7536.0,1.88,3.08,3.46,0.02,1.67,5.52,1.12,340900.4,179782.1,64096.5,134655.1,80648.5,42324.1,34059.09
18,2024-12-31,2.18,2.66,11321.0,11670.0,10001.0,2.03,2.16,2.66,0.01,1.9,4.81,1.68,355103.3,192670.7,69397.5,136213.2,80185.7,42427.2,34743.47
